Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data,Launch Year
Cosmos 2517,Russia,Russia,Ministry of Defense,Military,Earth Science,Unknown,LEO,Sun-Synchronous,0.0,935,963,0.0019100000000000002,99.27,104.03,900,,,6/5/2016,5.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2016-034A,41579,"Designed to measure variations in the Earth’s gravitational field, to build a high-precision geodetic network in the geocentric coordinate system, as well as study continental plate motion, tides, the Earth’s rotation and coordinates of poles.",Space50,2016
Cosmos 2540,Russia,Russia,Ministry of Defense,Military,Earth Science,Unknown,LEO,Sun-Synchronous,0.0,945,958,0.0008880000000000001,99.3,103.9,900,,,8/30/2019,5.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2019-057A,44517,"Designed to measure variations in the Earth’s gravitational field, to build a high-precision geodetic network in the geocentric coordinate system, as well as study continental plate motion, tides, the Earth’s rotation and coordinates of poles.",JM/10_19,2019
GeoEye-1,USA,USA,DigitalGlobe Corporation,Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,671,686,0.00106,98.1,98.3,"1,955",,,9/6/2008,7.0,General Dynamics,USA,Vandenberg AFB,Delta 2,2008-042A,33331,"Remote sensing for both commercial customers and the National Geospatial-Intelligence Agency (NGA), GeoEye-1 is capable of acquiring image data at 0.41 meter panchromatic and 1.65 meter multispectral resolution. Experienced an antenna anomaly in 12/09.",www.satellitedebris.net 12/12,2008
GEO-Kompsat-2A,NR,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,GEO,Unknown,128.2,"35,783","35,787",4.74e-05,0.05,1436.04,"3,507",,"2,600",12/4/2018,10.0,Korea Aerospace Research Institute (KARI),South Korea,Guiana Space Center,Ariane 5,2018-100A,43823,"Will monitor meteorological events on earth as well as study space weather. Carries the Advanced Meteorological Imager, a 16-channel camera built by Harris Corp. in Fort Wayne, Indiana",JMSatcat/3_19,2018
GEO-Kompsat-2B,NR (j3/20),South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,Government,Earth Observation,Meteorology,GEO,Unknown,128.0,"35,782","35,792",0.00011899999999999999,0.04,1436.13,"3,379",,,2/18/2020,10.0,Korea Aerospace Research Institute (KARI),South Korea,Guiana Space Center,Ariane 5,2020-013B,45246,,JMGEO/4_20,2020
Geomagnetic Tail Laboratory (Geotail),Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,Unknown,Elliptical,Deep Highly Eccentric,0.0,"49,551","191,451",0.5589999999999999,9.39,"2,474.83",980,,273,7/24/1992,0.0,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2,1992-044A,22049,Study the dynamics of the Earth's magnetotail over a wide range of distance,WT,1992
GHGSat-D,Canada,Canada,"GHGSat, Inc.",Commercial,Earth Science,Unknown,LEO,Sun-Synchronous,0.0,500,512,0.0008730000000000001,97.5,94.70,15,,,6/22/2016,0.0,"University of Toronto, Institute for Aerospace Studies/ Space Flight Laboratory",Canada,Satish Dhawan Space Centre,PSLV XL,2016-040D,41602,Demonstration satellite for a constellation monitoring emissions and greenhouse gases.,ZARYA,2016
GCOM-1,Japan,USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,701,704,0.000212,98.2,98.80,"1,900",,4.05,5/17/2012,5.0,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H2A,2012-025A,38337,First of a series of satellites to study water circulation systems in the Earth's atmosphere; July 2012 took up lead position in A-Train.,www.satellitedebris.net 12/12,2012
Globalstar FM37,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,411","1,417",0.00038500000000000003,52.0,114.1,450,350,"1,500",3/15/1999,10.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-012D,25652,,www.satellitedebris.net 12/12,1999
Globalstar M065,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,411","1,416",0.000321,52.0,114.1,450,350,"1,500",5/29/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020A,31571,,www.satellitedebris.net 12/12,2007
Globalstar M066,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,52.0,114.1,450,350,"1,500",10/20/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048C,32265,,www.satellitedebris.net 12/12,2007
Globalstar M067,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,450,350,"1,500",10/20/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048A,32263,,www.satellitedebris.net 12/12,2007
Globalstar M069,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,411","1,416",0.000321,52.0,114.1,450,350,"1,500",5/29/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020C,31573,,www.satellitedebris.net 12/12,2007
Globalstar M070,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,52.0,114.1,450,350,"1,500",10/20/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048B,32264,,www.satellitedebris.net 12/12,2007
Globalstar M071,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,52.0,114.1,450,350,"1,500",5/29/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020F,31576,,www.satellitedebris.net 12/12,2007
Globalstar M072,USA,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,416",0.00025699999999999996,52.0,114.1,450,350,"1,500",5/29/2007,10.0,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020D,31574,,www.satellitedebris.net 12/12,2007
Globalstar M073,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",10/19/2010,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054F,37193,,www.satellitedebris.net 12/12,2010
Globalstar M074,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,415",0.000128,52.0,114.1,700,,"1,700",10/19/2010,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054B,37189,,www.satellitedebris.net 12/12,2010
Globalstar M075,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,415",0.000128,52.0,114.1,700,,"1,700",10/19/2010,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054E,37192,,www.satellitedebris.net 12/12,2010
Globalstar M076,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,52.0,114.1,700,,"1,700",10/19/2010,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054C,37190,,www.satellitedebris.net 12/12,2010
Globalstar M077,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",10/19/2010,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054D,37191,,www.satellitedebris.net 12/12,2010
Globalstar M078,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,51.99,114.08,700,,"1,700",2/6/2013,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005E,39076,,SC - ASCR,2013
Globalstar M079,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",10/19/2010,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz-Fregat,2010-054A,37188,First of second generation.,www.satellitedebris.net 12/12,2010
Globalstar M080,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",12/28/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080B,38041,,www.satellitedebris.net 12/12,2011
Globalstar M081,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,52.0,114.1,700,,"1,700",7/13/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033E,37743,,www.satellitedebris.net 12/12,2011
Globalstar M082,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",12/28/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080C,38042,,www.satellitedebris.net 12/12,2011
Globalstar M083,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",7/13/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033A,37739,,www.satellitedebris.net 12/12,2011
Globalstar M084,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",12/28/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080A,38040,Continuation of second generation.,www.satellitedebris.net 12/12,2011
Globalstar M085,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,415",0.000128,52.0,114.1,700,,"1,700",7/13/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033D,37742,,www.satellitedebris.net 12/12,2011
Globalstar M086,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",12/28/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080F,38045,,www.satellitedebris.net 12/12,2011
Globalstar M088,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,52.0,114.1,700,,"1,700",7/13/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033B,37740,,www.satellitedebris.net 12/12,2011
Globalstar M089,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,415",0.000128,51.99,118.2,700,,"1,700",7/13/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033F,37744,,WT,2011
Globalstar M090,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",12/28/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080E,38044,,www.satellitedebris.net 12/12,2011
Globalstar M091,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,415",0.000128,52.0,114.1,700,,"1,700",7/13/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a,2011-033C,37741,,www.satellitedebris.net 12/12,2011
Globalstar M092,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.0,114.1,700,,"1,700",12/28/2011,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz 2.1a/Fregat,2011-080D,38043,,www.satellitedebris.net 12/12,2011
Globalstar M093,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,412","1,415",0.000193,51.98,113.35,700,,"1,700",2/6/2013,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005B,39073,,WT,2013
Globalstar M094,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,51.99,103.44,700,,"1,700",2/6/2013,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005C,39074,,SC - ASCR,2013
Globalstar M095,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,51.98,114.08,700,,"1,700",2/6/2013,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005F,39077,,SC - ASCR,2013
Globalstar M096,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,413","1,414",6.42e-05,52.01,103.48,700,,"1,700",2/6/2013,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005D,39075,,WT,2013
Globalstar M097,France,USA,Globalstar,Commercial,Communications,Unknown,LEO,Non-Polar Inclined,0.0,"1,370","1,391",0.00135,52.01,113.96,700,,"1,700",2/6/2013,15.0,Thales Alenia Space,Italy,Baikonur Cosmodrome,Soyuz.2.1a/Fregat,2013-005A,39072,,SC - ASCR,2013
Cosmos 2471,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,116","19,146",0.000588,64.77,675.78,935,,"1,700",2/26/2011,10.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-009A,37372,"Next generation. Will transmit more navigation signals. Five channels, four in L1 andL2 bands and one for civilian aplications in the L3 band.",SC - ASCR,2011
Cosmos 2501,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,103","19,178",0.00147,64.83,676.15,935,,"1,700",12/1/2014,10.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-075A,40315,Also carries a COSPAS/SARSAT transponder.,ZARYA,2014
Cosmos 2425,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,130","19,130",0.0,64.8,675.75,"1,480",,"1,600",12/25/2006,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062A,29670,,SC - ASCR,2006
Cosmos 2426,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,130","19,130",0.0,64.8,675.75,"1,480",,"1,600",12/25/2006,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2006-062B,29671,,SC - ASCR,2006
Cosmos 2432,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,094","19,171",0.00151,64.9,675.83,"1,480",,"1,600",10/26/2007,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2007-052B,32276,,,2007
Cosmos 2433,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,124","19,133",0.000176,64.9,675.67,"1,480",,"1,600",10/26/2007,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton K,2007-052A,32275,,,2007
Cosmos 2434,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,142","19,378",0.0046,64.66,680.91,"1,480",,"1,600",12/25/2007,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2007-065A,32393,,,2007
Cosmos 2436,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,147","19,365",0.00425,64.67,680.75,"1,480",,"1,600",12/25/2007,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2007-065C,32395,,,2007
Cosmos 2456,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,132","19,419",0.0056,64.81,681.53,"1,415",,"1,000",12/14/2009,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070A,36111,,SC - ASCR,2009
Cosmos 2459,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,119","19,146",0.000529,64.76,675.85,"1,415",,"1,000",3/1/2010,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007A,36400,,SC - ASCR,2010
Cosmos 2460,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,131","19,133",3.9200000000000004e-05,64.77,675.81,"1,415",,"1,000",3/1/2010,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007C,36402,,SC - ASCR,2010
Cosmos 2457,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"18,864","19,130",0.00524,64.78,670.47,"1,415",,"1,000",12/14/2009,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2009-070B,36112,,SC - ASCR,2009
Cosmos 2461,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,128","19,135",0.00013700000000000002,64.77,675.81,"1,415",,"1,000",3/1/2010,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-007B,36401,,SC - ASCR ,2010
Cosmos 2464,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"18,909","19,123",0.00421,64.82,671.2,"1,415",,"1,000",9/2/2010,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2010-041C,37139,,SC - ASCR,2010
Cosmos 2474,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,126","19,158",0.000627,64.82,676.2,"1,415",,"1,000",10/2/2011,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2011-055A,37829,,SC - ASCR,2011
Cosmos 2476,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,142","19,204",0.00121,64.8,677.46,"1,415",,"1,000",11/4/2011,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064A,37867,,SC - ASCR,2011
Cosmos 2477,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,150","19,199",0.000959,64.8,677.5,"1,415",,"1,000",11/4/2011,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064B,37868,,SC - ASCR,2011
Cosmos 2475,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,139","19,212",0.00143,64.78,677.54,"1,415",,"1,000",11/4/2011,7.0,ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-064C,37869,,SC - ASCR,2011
Cosmos 2485,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,087","19,173",0.0016899999999999999,64.77,675.73,"1,415",,"1,000",4/26/2013,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2,2013-019A,39155,,SC - ASCR,2013
Cosmos 2514,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,106","19,154",0.000941,64.8,675.75,"1,415",,"1,000",2/7/2016,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-008A,41330,,Space50,2016
Cosmos 2522,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,103","19,156",0.0010400000000000001,64.8,675.75,"1,415",,"1,000",9/22/2017,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-055A,42939,,JM/8_18,2017
Cosmos 2516,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,094","19,153",0.00116,64.8,675.49,"1,415",,"1,000",5/29/2016,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2016-032A,41554,,Space50,2016
Cosmos 2500,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,114","19,146",0.000627,64.77,675.73,"1,415",,"1,000",6/14/2014,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2014-032A,40001,,ZARYA,2014
Cosmos 2527,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,121","19,154",0.000647,64.8,676.03,"1,415",,"1,000",6/18/2018,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2018-053A,43508,,JMSatcat/10_18,2018
Cosmos 2529,Russia,Russia,Ministry of Defense,Military/Commercial,Navigation/Global Positioning,Unknown,MEO,Non-Polar Inclined,0.0,"19,123","19,163",0.000784,64.8,767.2,"1,415",,"1,000",11/3/2018,7.0,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2018-086A,43687,,JMGeo/11_18,2018
